id,question,option_a,option_b,option_c,option_d,option_e,correct,explanation,category
90,卡替拉韦与利匹韦林联合使用可用于？,治疗急性流感,治疗慢性乙型肝炎,接受稳定ART方案后病毒被抑制的HIV-1感染成人患者,预防流感,治疗丙型肝炎,C,卡替拉韦与利匹韦林联合使用，治疗接受稳定抗逆转录病毒治疗方案后病毒被抑制（HIV-1 RNA<每毫升50拷贝）的HIV-1感染成人患者，也可用于HIV暴露前预防。,抗HIV药
91,下列药物中，属于神经氨酸酶抑制药的是？,金刚烷胺（M2通道阻滞药）,氯喹（抗疟药）,甲硝唑（抗阿米巴药）,奥司他韦,吡喹酮（抗血吸虫药）,D,奥司他韦属于神经氨酸酶抑制药。金刚烷胺是M2通道阻滞药，氯喹是抗疟药，甲硝唑是抗阿米巴药，吡喹酮是抗血吸虫药。,综合
92,下列药物中，作用于病毒DNA聚合酶的是？,奥司他韦（神经氨酸酶抑制药）,伯氨喹（抗疟药，作用于线粒体）,阿昔洛韦,乙胺嗪（抗丝虫药）,阿苯达唑（驱肠虫药）,C,阿昔洛韦经病毒TK磷酸化后抑制病毒DNA聚合酶。奥司他韦抑制神经氨酸酶，伯氨喹抑制线粒体氧化磷酸化，乙胺嗪杀微丝蚴，阿苯达唑抑制微管聚合。,综合
93,下列哪个组合中的两种药物作用机制最相似？,阿昔洛韦与氯喹,齐多夫定与乙胺嘧啶,奥司他韦与扎那米韦,金刚烷胺与甲氟喹,利巴韦林与青蒿素,C,奥司他韦和扎那米韦均为神经氨酸酶抑制药，作用机制相同。其他组合的药物作用机制不同。,综合
94,下列关于核苷类似物抗病毒药的描述，哪个组合中两者的作用靶酶相同？,齐多夫定与利托那韦,拉米夫定与索磷布韦,阿昔洛韦与膦甲酸,恩替卡韦与阿德福韦酯,奥司他韦与玛巴洛沙韦,D,恩替卡韦和阿德福韦酯均抑制HBV DNA聚合酶。齐多夫定抑制逆转录酶而利托那韦抑制蛋白酶；拉米夫定抑制逆转录酶而索磷布韦抑制NS5B聚合酶；阿昔洛韦和膦甲酸均可抑制DNA聚合酶但机制不同；奥司他韦抑制神经氨酸酶而玛巴洛沙韦抑制PA亚基内切酶。,综合
95,需要经病毒胸苷激酶（TK）磷酸化才能激活的抗病毒药是？,利巴韦林,膦甲酸,阿昔洛韦,奥司他韦,金刚烷胺,C,阿昔洛韦需在感染细胞内经病毒胸苷激酶（TK）磷酸化后才能发挥抗病毒作用。利巴韦林由腺苷激酶磷酸化，膦甲酸直接抑制DNA聚合酶不需磷酸化。,综合
96,下列药物与其主要抗病毒谱的配对，错误的是？,阿昔洛韦——HSV、VZV,更昔洛韦——CMV,奥司他韦——甲型和乙型流感,索磷布韦——HBV,齐多夫定——HIV,D,索磷布韦是抗HCV（丙型肝炎病毒）药物，而非抗HBV（乙型肝炎病毒）药物。抗HBV的药物包括恩替卡韦、阿德福韦酯、替诺福韦等。,综合
97,下列哪种情况不属于抗病毒药的合理应用？,奥司他韦用于治疗甲型H1N1流感,阿昔洛韦用于治疗带状疱疹,金刚烷胺用于治疗乙型流感,齐多夫定联合拉米夫定治疗HIV,索磷布韦联合利巴韦林治疗基因2型丙肝,C,金刚烷胺仅对甲型流感病毒有效，对乙型流感病毒无效，因此不应用于治疗乙型流感。,综合
98,关于抗病毒药的描述，下列哪项是正确的？,利巴韦林孕妇可用,更昔洛韦无明显骨髓毒性,干扰素可用于严重心脏病患者,阿昔洛韦对CMV的抑制作用较弱,奥司他韦仅对甲型流感有效,D,CMV缺乏病毒胸苷激酶（TK），因此阿昔洛韦对CMV抑制作用较弱。利巴韦林孕妇禁用，更昔洛韦有骨髓抑制毒性，干扰素禁用于严重心脏病患者，奥司他韦对甲型和乙型流感均有效。,综合
99,下列药物中，口服后需要经体内代谢才能转化为活性形式的药物组是？,阿昔洛韦、膦甲酸,伐昔洛韦、奥司他韦、泛昔洛韦、巴洛沙韦玛波西酯,金刚烷胺、扎那米韦,恩替卡韦、干扰素,齐多夫定、利巴韦林,B,伐昔洛韦（→阿昔洛韦）、奥司他韦（→奥司他韦羧酸盐）、泛昔洛韦（→喷昔洛韦）、巴洛沙韦玛波西酯（→巴洛沙韦酸）均为前体药物，需在体内代谢转化为活性形式。,综合
100,HIV感染后，病毒DNA整合到宿主细胞基因组中需要哪种酶的参与？,逆转录酶,蛋白酶,整合酶,RNA聚合酶,拓扑异构酶,C,HIV双链DNA转运到细胞核后，在整合酶的作用下，病毒DNA基因组插入到宿主细胞基因组中。整合酶抑制药如拉替拉韦通过抑制链转移反应阻断此过程。,抗HIV药
